epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.006,1.04542,1.29361,1.01815,0.74969,0.69933,0.74278,0.57823,0.91244,0.80765,0.94969,0.000369698,0.000369698,0.000369698
2,331.494,0.95964,0.79155,0.98696,0.84534,0.75315,0.83938,0.66239,0.86179,0.68953,0.94892,0.000725379,0.000725379,0.000725379
3,493.394,0.93662,0.70951,0.98552,0.85553,0.76891,0.85478,0.68901,0.81632,0.61979,0.94291,0.00106639,0.00106639,0.00106639
4,655.236,0.90915,0.65124,0.97529,0.88058,0.81241,0.88352,0.7132,0.77377,0.54509,0.94122,0.00104501,0.00104501,0.00104501
5,817.022,0.88118,0.6104,0.96643,0.82412,0.8507,0.88886,0.72736,0.76436,0.55102,0.92901,0.00102301,0.00102301,0.00102301
6,978.721,0.85875,0.58816,0.96037,0.87893,0.81089,0.8776,0.71551,0.76092,0.52402,0.92822,0.00100101,0.00100101,0.00100101
7,1140.87,0.84406,0.56639,0.95475,0.90075,0.79438,0.89813,0.74812,0.75457,0.51762,0.92531,0.000979013,0.000979013,0.000979013
8,1302.67,0.83355,0.54659,0.95346,0.93226,0.85667,0.93552,0.78645,0.7314,0.47875,0.9159,0.000957015,0.000957015,0.000957015
9,1464.25,0.81918,0.53347,0.94698,0.89176,0.83796,0.91491,0.76655,0.72597,0.4806,0.91299,0.000935018,0.000935018,0.000935018
10,1626.1,0.81099,0.52378,0.94334,0.87612,0.86683,0.92894,0.78404,0.71524,0.46394,0.91179,0.00091302,0.00091302,0.00091302
11,1787.76,0.80498,0.51606,0.94173,0.90403,0.9119,0.94317,0.8012,0.70202,0.43933,0.90831,0.000891022,0.000891022,0.000891022
12,1949.25,0.7953,0.50471,0.93774,0.92713,0.86248,0.94508,0.80345,0.70235,0.43441,0.90713,0.000869024,0.000869024,0.000869024
13,2110.81,0.7862,0.49501,0.93579,0.91224,0.88001,0.94211,0.80286,0.69939,0.43613,0.90345,0.000847026,0.000847026,0.000847026
14,2272.17,0.78307,0.48638,0.93435,0.91282,0.87357,0.94526,0.80039,0.69402,0.42755,0.90532,0.000825029,0.000825029,0.000825029
15,2433.71,0.77879,0.4829,0.93296,0.90801,0.90014,0.95667,0.81994,0.67898,0.41196,0.89953,0.000803031,0.000803031,0.000803031
